iter	Passed	Remaining
0	136	136485
1	138	69247
2	146	48697
3	148	37066
4	150	29974
5	151	25172
6	153	21796
7	155	19249
8	156	17256
9	158	15647
10	159	14343
11	161	13287
12	162	12359
13	164	11568
14	165	10899
15	167	10308
16	169	9796
17	170	9315
18	172	8905
19	174	8548
20	175	8202
21	177	7884
22	178	7596
23	180	7344
24	182	7113
25	183	6892
26	185	6688
27	187	6502
28	188	6321
29	190	6146
30	191	5985
31	192	5835
32	194	5689
33	195	5554
34	197	5432
35	198	5326
36	200	5230
37	202	5133
38	204	5037
39	205	4942
40	207	4856
41	209	4775
42	211	4697
43	212	4618
44	214	4552
45	216	4480
46	217	4410
47	219	4345
48	220	4284
49	222	4222
50	223	4163
51	225	4105
52	226	4049
53	228	4004
54	230	3958
55	231	3909
56	233	3864
57	235	3822
58	237	3781
59	238	3738
60	240	3701
61	242	3667
62	245	3644
63	246	3606
64	248	3571
65	249	3536
66	251	3501
67	253	3468
68	254	3435
69	256	3402
70	257	3370
71	259	3340
72	261	3314
73	263	3291
74	264	3262
75	266	3234
76	267	3208
77	269	3181
78	270	3156
79	272	3133
80	274	3110
81	275	3085
82	276	3053
83	277	3027
84	279	3003
85	280	2980
86	282	2960
87	283	2938
88	284	2916
89	286	2898
90	288	2879
91	289	2859
92	291	2840
93	292	2821
94	294	2805
95	296	2789
96	297	2773
97	299	2754
98	301	2740
99	302	2725
100	304	2710
101	306	2694
102	307	2677
103	308	2661
104	310	2645
105	312	2632
106	313	2618
107	315	2606
108	317	2595
109	319	2583
110	320	2569
111	322	2557
112	324	2543
113	325	2531
114	327	2516
115	328	2502
116	329	2485
117	331	2474
118	332	2464
119	334	2451
120	335	2438
121	336	2423
122	338	2411
123	339	2401
124	341	2388
125	342	2376
126	343	2362
127	345	2351
128	346	2341
129	348	2331
130	349	2320
131	351	2308
132	352	2295
133	353	2283
134	354	2273
135	356	2261
136	357	2250
137	358	2238
138	360	2231
139	361	2222
140	363	2212
141	364	2199
142	365	2188
143	366	2177
144	367	2167
145	368	2157
146	369	2146
147	371	2136
148	372	2126
149	373	2116
150	375	2108
151	376	2102
152	378	2092
153	379	2083
154	380	2073
155	381	2064
156	382	2055
157	384	2047
158	385	2038
159	386	2029
160	387	2018
161	388	2009
162	389	2001
163	391	1995
164	392	1987
165	393	1978
166	394	1969
167	396	1961
168	397	1954
169	399	1948
170	400	1940
171	401	1932
172	402	1924
173	404	1919
174	405	1912
175	407	1905
176	408	1897
177	409	1890
178	410	1883
179	411	1876
180	413	1869
181	414	1862
182	415	1855
183	416	1848
184	418	1841
185	419	1835
186	421	1830
187	422	1823
188	423	1816
189	424	1810
190	425	1803
191	427	1797
192	428	1790
193	429	1783
194	430	1777
195	431	1770
196	433	1765
197	434	1760
198	435	1754
199	437	1748
200	438	1742
201	439	1735
202	440	1730
203	442	1725
204	443	1720
205	445	1715
206	446	1710
207	447	1705
208	449	1701
209	450	1696
210	452	1691
211	453	1686
212	454	1681
213	456	1677
214	457	1671
215	459	1667
216	460	1662
217	462	1659
218	464	1658
219	466	1653
220	467	1649
221	469	1644
222	470	1639
223	471	1634
224	473	1629
225	474	1625
226	476	1621
227	477	1617
228	479	1613
229	480	1609
230	482	1605
231	484	1602
232	485	1597
233	486	1593
234	487	1588
235	489	1584
236	490	1579
237	492	1575
238	493	1571
239	495	1567
240	496	1563
241	498	1561
